2024-06-05 16:41:19,728.Bbq_producer.INFO ==================================================
2024-06-05 16:41:19,728.Bbq_producer.INFO Today is 2024-06-05 at 04:41 PM
2024-06-05 16:41:19,729.Bbq_producer.INFO Running on: posix Darwin 23.4.0
2024-06-05 16:41:19,729.Bbq_producer.INFO Python version:  3.12.2
2024-06-05 16:41:19,729.Bbq_producer.INFO Python path: /Users/grahammiller/streaming-05-start-smoker/.venv
2024-06-05 16:41:19,729.Bbq_producer.INFO Working dir: /Users/grahammiller/streaming-05-start-smoker
2024-06-05 16:41:19,729.Bbq_producer.INFO ==================================================
2024-06-05 16:41:22,037.Bbq_producer.INFO Sent message to 01-smoker: (1621705155.0, 115.5)
2024-06-05 16:41:22,049.Bbq_producer.INFO Sent message to 01-smoker: (1621705210.0, 112.6)
2024-06-05 16:41:22,062.Bbq_producer.INFO Sent message to 01-smoker: (1621705215.0, 112.6)
2024-06-05 16:41:22,075.Bbq_producer.INFO Sent message to 01-smoker: (1621705270.0, 118.8)
2024-06-05 16:41:22,088.Bbq_producer.INFO Sent message to 01-smoker: (1621705275.0, 118.8)
2024-06-05 16:41:22,099.Bbq_producer.INFO Sent message to 01-smoker: (1621705330.0, 113.2)
2024-06-05 16:41:22,113.Bbq_producer.INFO Sent message to 01-smoker: (1621705335.0, 113.2)
2024-06-05 16:41:22,125.Bbq_producer.INFO Sent message to 01-smoker: (1621705390.0, 126.7)
2024-06-05 16:41:22,138.Bbq_producer.INFO Sent message to 01-smoker: (1621705395.0, 126.7)
2024-06-05 16:41:22,150.Bbq_producer.INFO Sent message to 01-smoker: (1621705450.0, 130.0)
2024-06-05 16:41:22,163.Bbq_producer.INFO Sent message to 01-smoker: (1621705455.0, 130.0)
2024-06-05 16:41:22,173.Bbq_producer.INFO Sent message to 01-smoker: (1621705510.0, 130.0)
2024-06-05 16:41:22,184.Bbq_producer.INFO Sent message to 01-smoker: (1621705515.0, 130.0)
2024-06-05 16:41:22,197.Bbq_producer.INFO Sent message to 01-smoker: (1621705570.0, 137.3)
2024-06-05 16:41:22,208.Bbq_producer.INFO Sent message to 01-smoker: (1621705575.0, 137.3)
2024-06-05 16:41:22,221.Bbq_producer.INFO Sent message to 01-smoker: (1621705630.0, 139.5)
2024-06-05 16:41:22,232.Bbq_producer.INFO Sent message to 01-smoker: (1621705635.0, 139.5)
2024-06-05 16:41:22,244.Bbq_producer.INFO Sent message to 01-smoker: (1621705690.0, 141.8)
2024-06-05 16:41:22,257.Bbq_producer.INFO Sent message to 01-smoker: (1621705695.0, 141.8)
2024-06-05 16:41:22,269.Bbq_producer.INFO Sent message to 01-smoker: (1621705750.0, 143.6)
2024-06-05 16:41:22,281.Bbq_producer.INFO Sent message to 01-smoker: (1621705755.0, 143.6)
2024-06-05 16:41:22,293.Bbq_producer.INFO Sent message to 01-smoker: (1621705810.0, 145.0)
2024-06-05 16:41:22,306.Bbq_producer.INFO Sent message to 01-smoker: (1621705815.0, 145.0)
2024-06-05 16:41:22,317.Bbq_producer.INFO Sent message to 01-smoker: (1621705870.0, 146.2)
2024-06-05 16:41:22,330.Bbq_producer.INFO Sent message to 01-smoker: (1621705875.0, 146.2)
2024-06-05 16:41:22,341.Bbq_producer.INFO Sent message to 01-smoker: (1621705930.0, 147.5)
2024-06-05 16:41:22,354.Bbq_producer.INFO Sent message to 01-smoker: (1621705935.0, 147.5)
2024-06-05 16:41:22,365.Bbq_producer.INFO Sent message to 01-smoker: (1621705990.0, 148.7)
2024-06-05 16:41:22,378.Bbq_producer.INFO Sent message to 01-smoker: (1621705995.0, 148.7)
2024-06-05 16:41:22,391.Bbq_producer.INFO Sent message to 01-smoker: (1621706050.0, 149.9)
2024-06-05 16:41:22,403.Bbq_producer.INFO Sent message to 01-smoker: (1621706055.0, 149.9)
2024-06-05 16:41:22,415.Bbq_producer.INFO Sent message to 01-smoker: (1621706105.0, 151.1)
2024-06-05 16:41:22,425.Bbq_producer.INFO Sent message to 01-smoker: (1621706110.0, 151.2)
2024-06-05 16:41:22,438.Bbq_producer.INFO Sent message to 01-smoker: (1621706115.0, 151.2)
2024-06-05 16:41:22,451.Bbq_producer.INFO Sent message to 01-smoker: (1621706170.0, 152.4)
2024-06-05 16:41:22,465.Bbq_producer.INFO Sent message to 01-smoker: (1621706175.0, 152.4)
2024-06-05 16:41:22,479.Bbq_producer.INFO Sent message to 01-smoker: (1621706230.0, 153.4)
2024-06-05 16:41:22,492.Bbq_producer.INFO Sent message to 01-smoker: (1621706235.0, 153.4)
2024-06-05 16:41:22,507.Bbq_producer.INFO Sent message to 01-smoker: (1621706290.0, 154.5)
2024-06-05 16:41:22,522.Bbq_producer.INFO Sent message to 01-smoker: (1621706295.0, 154.5)
2024-06-05 16:41:22,534.Bbq_producer.INFO Sent message to 01-smoker: (1621706350.0, 155.6)
2024-06-05 16:41:22,550.Bbq_producer.INFO Sent message to 01-smoker: (1621706355.0, 155.6)
2024-06-05 16:41:22,563.Bbq_producer.INFO Sent message to 01-smoker: (1621706410.0, 156.5)
2024-06-05 16:41:22,576.Bbq_producer.INFO Sent message to 01-smoker: (1621706415.0, 156.5)
2024-06-05 16:41:22,588.Bbq_producer.INFO Sent message to 01-smoker: (1621706470.0, 157.8)
2024-06-05 16:41:22,599.Bbq_producer.INFO Sent message to 01-smoker: (1621706475.0, 157.8)
2024-06-05 16:41:22,612.Bbq_producer.INFO Sent message to 01-smoker: (1621706530.0, 158.8)
2024-06-05 16:41:22,625.Bbq_producer.INFO Sent message to 01-smoker: (1621706535.0, 158.8)
2024-06-05 16:41:22,637.Bbq_producer.INFO Sent message to 01-smoker: (1621706590.0, 159.9)
2024-06-05 16:41:22,647.Bbq_producer.INFO Sent message to 01-smoker: (1621706595.0, 159.9)
2024-06-05 16:41:22,658.Bbq_producer.INFO Sent message to 01-smoker: (1621706650.0, 160.7)
2024-06-05 16:41:22,673.Bbq_producer.INFO Sent message to 01-smoker: (1621706655.0, 160.7)
2024-06-05 16:41:22,683.Bbq_producer.INFO Sent message to 01-smoker: (1621706710.0, 161.9)
2024-06-05 16:41:22,696.Bbq_producer.INFO Sent message to 01-smoker: (1621706715.0, 161.9)
2024-06-05 16:41:22,706.Bbq_producer.INFO Sent message to 01-smoker: (1621706770.0, 163.1)
2024-06-05 16:41:22,717.Bbq_producer.INFO Sent message to 01-smoker: (1621706775.0, 163.1)
2024-06-05 16:41:22,728.Bbq_producer.INFO Sent message to 01-smoker: (1621706830.0, 164.3)
2024-06-05 16:41:22,739.Bbq_producer.INFO Sent message to 01-smoker: (1621706835.0, 164.3)
2024-06-05 16:41:22,750.Bbq_producer.INFO Sent message to 01-smoker: (1621706890.0, 165.6)
2024-06-05 16:41:22,765.Bbq_producer.INFO Sent message to 01-smoker: (1621706895.0, 165.6)
2024-06-05 16:41:22,776.Bbq_producer.INFO Sent message to 01-smoker: (1621706950.0, 166.7)
2024-06-05 16:41:22,789.Bbq_producer.INFO Sent message to 01-smoker: (1621706955.0, 166.7)
2024-06-05 16:41:22,799.Bbq_producer.INFO Sent message to 01-smoker: (1621707010.0, 167.8)
2024-06-05 16:41:22,813.Bbq_producer.INFO Sent message to 01-smoker: (1621707015.0, 167.8)
2024-06-05 16:41:22,824.Bbq_producer.INFO Sent message to 01-smoker: (1621707070.0, 168.8)
2024-06-05 16:41:22,838.Bbq_producer.INFO Sent message to 01-smoker: (1621707075.0, 168.8)
2024-06-05 16:41:22,849.Bbq_producer.INFO Sent message to 01-smoker: (1621707130.0, 170.2)
2024-06-05 16:41:22,947.Bbq_producer.INFO Sent message to 01-smoker: (1621707135.0, 170.2)
2024-06-05 16:41:22,986.Bbq_producer.INFO Sent message to 01-smoker: (1621707190.0, 171.7)
2024-06-05 16:41:22,998.Bbq_producer.INFO Sent message to 01-smoker: (1621707195.0, 171.7)
2024-06-05 16:41:23,013.Bbq_producer.INFO Sent message to 01-smoker: (1621707250.0, 173.3)
2024-06-05 16:41:23,025.Bbq_producer.INFO Sent message to 01-smoker: (1621707255.0, 173.3)
2024-06-05 16:41:23,035.Bbq_producer.INFO Sent message to 01-smoker: (1621707310.0, 174.6)
2024-06-05 16:41:23,049.Bbq_producer.INFO Sent message to 01-smoker: (1621707315.0, 174.6)
2024-06-05 16:41:23,060.Bbq_producer.INFO Sent message to 01-smoker: (1621707370.0, 175.5)
2024-06-05 16:41:23,074.Bbq_producer.INFO Sent message to 01-smoker: (1621707375.0, 175.5)
2024-06-05 16:41:23,087.Bbq_producer.INFO Sent message to 01-smoker: (1621707430.0, 176.8)
2024-06-05 16:41:23,098.Bbq_producer.INFO Sent message to 01-smoker: (1621707435.0, 176.8)
2024-06-05 16:41:23,111.Bbq_producer.INFO Sent message to 01-smoker: (1621707490.0, 177.8)
2024-06-05 16:41:23,123.Bbq_producer.INFO Sent message to 01-smoker: (1621707495.0, 177.8)
2024-06-05 16:41:23,137.Bbq_producer.INFO Sent message to 01-smoker: (1621707550.0, 178.9)
2024-06-05 16:41:23,149.Bbq_producer.INFO Sent message to 01-smoker: (1621707555.0, 178.9)
